ms,phase,tempC,humPct,pressHpa,gasKOhms,deltaGasKOhms,gasDropPct,deltaHumPct
368,ambient,27.79,27.45,1002.32,19.75,0.00,0.00,0.00
2737,ambient,27.42,26.95,1002.33,18.87,0.00,0.00,0.00
5106,ambient,27.12,26.83,1002.35,18.53,0.00,0.00,0.00
7475,ambient,26.88,26.82,1002.35,18.37,0.00,0.00,0.00
9844,ambient,26.70,26.85,1002.35,18.45,0.00,0.00,0.00
12213,ambient,26.56,26.87,1002.36,18.35,0.00,0.00,0.00
14582,ambient,26.46,26.89,1002.37,18.50,0.00,0.00,0.00
16951,ambient,26.38,26.88,1002.37,18.48,0.00,0.00,0.00
19320,ambient,26.31,26.87,1002.35,18.58,0.00,0.00,0.00
21689,ambient,26.27,26.84,1002.35,18.58,0.00,0.00,0.00
24068,ambient,26.23,26.83,1002.33,18.64,0.00,0.00,0.00
26437,ambient,26.20,26.82,1002.33,18.81,0.00,0.00,0.00
28806,ambient,26.18,26.82,1002.33,18.92,0.00,0.00,0.00
31175,ambient,26.16,26.88,1002.33,18.94,0.00,0.00,0.00
33544,ambient,26.15,26.93,1002.32,18.99,0.00,0.00,0.00
35913,ambient,26.14,26.96,1002.32,19.08,0.00,0.00,0.00
38282,ambient,26.14,26.95,1002.33,19.21,0.00,0.00,0.00
40651,ambient,26.14,26.95,1002.32,19.18,0.00,0.00,0.00
43020,ambient,26.14,26.98,1002.32,19.28,0.00,0.00,0.00
45389,ambient,26.14,26.98,1002.33,19.37,0.00,0.00,0.00
47758,ambient,26.14,26.93,1002.34,19.60,0.00,0.00,0.00
50127,ambient,26.14,26.91,1002.34,19.57,0.00,0.00,0.00
52496,ambient,26.14,26.89,1002.34,19.64,0.00,0.00,0.00
54865,ambient,26.15,26.86,1002.34,19.75,0.00,0.00,0.00
57234,ambient,26.15,26.86,1002.34,19.86,0.00,0.00,0.00
59603,ambient,26.15,26.85,1002.33,19.89,0.00,0.00,0.00
61972,ambient,26.15,26.84,1002.32,19.91,0.00,0.00,0.00
64341,ambient,26.14,26.85,1002.31,20.06,0.00,0.00,0.00
66710,ambient,26.14,26.81,1002.31,20.16,0.00,0.00,0.00
69079,ambient,26.14,26.80,1002.32,20.23,0.00,0.00,0.00
71448,ambient,26.14,26.77,1002.32,20.39,0.00,0.00,0.00
73817,ambient,26.13,26.75,1002.31,20.41,0.00,0.00,0.00
76186,ambient,26.13,26.74,1002.32,20.45,0.00,0.00,0.00
78555,ambient,26.13,26.74,1002.33,20.43,0.00,0.00,0.00
80924,ambient,26.14,26.79,1002.33,20.49,0.00,0.00,0.00
83293,ambient,26.14,26.78,1002.34,20.65,0.00,0.00,0.00
85662,ambient,26.14,26.75,1002.34,20.75,0.00,0.00,0.00
88031,ambient,26.14,26.74,1002.35,20.68,0.00,0.00,0.00
90400,ambient,26.14,26.77,1002.34,20.75,0.00,0.00,0.00
92769,ambient,26.14,26.77,1002.33,20.81,0.00,0.00,0.00
95138,ambient,26.14,26.81,1002.33,20.91,0.00,0.00,0.00
97507,ambient,26.14,26.82,1002.33,20.95,0.00,0.00,0.00
99876,ambient,26.13,26.76,1002.34,21.03,0.00,0.00,0.00
102245,ambient,26.13,26.73,1002.34,21.26,0.00,0.00,0.00
104614,ambient,26.12,26.70,1002.34,21.20,0.00,0.00,0.00
106983,ambient,26.11,26.70,1002.33,21.20,0.00,0.00,0.00
109352,ambient,26.10,26.70,1002.33,21.37,0.00,0.00,0.00
111721,ambient,26.10,26.69,1002.33,21.50,0.00,0.00,0.00
114090,ambient,26.09,26.69,1002.33,21.54,0.00,0.00,0.00
116459,ambient,26.08,26.70,1002.33,21.52,0.00,0.00,0.00
118828,ambient,26.07,26.74,1002.33,21.54,0.00,0.00,0.00
121197,ambient,26.06,26.76,1002.34,21.63,0.00,0.00,0.00
123566,ambient,26.05,26.75,1002.33,21.72,0.00,0.00,0.00
125935,ambient,26.04,26.74,1002.34,21.76,0.00,0.00,0.00
128304,ambient,26.03,26.74,1002.34,21.92,0.00,0.00,0.00
130673,ambient,26.02,26.72,1002.34,21.92,0.00,0.00,0.00
133042,ambient,26.01,26.71,1002.34,21.92,0.00,0.00,0.00
135411,ambient,26.00,26.70,1002.33,22.05,0.00,0.00,0.00
137780,ambient,26.00,26.71,1002.32,21.99,0.00,0.00,0.00
140149,ambient,25.99,26.71,1002.33,22.08,0.00,0.00,0.00
142518,ambient,25.98,26.71,1002.33,22.12,0.00,0.00,0.00
144887,ambient,25.98,26.71,1002.33,22.17,0.00,0.00,0.00
147256,ambient,25.97,26.71,1002.33,22.26,0.00,0.00,0.00
149625,ambient,25.97,26.71,1002.32,22.31,0.00,0.00,0.00
151994,ambient,25.96,26.71,1002.33,22.31,0.00,0.00,0.00
154363,ambient,25.96,26.74,1002.32,22.35,0.00,0.00,0.00
156732,ambient,25.95,26.73,1002.30,22.35,0.00,0.00,0.00
159101,ambient,25.95,26.77,1002.28,22.35,0.00,0.00,0.00
161470,ambient,25.95,26.78,1002.28,22.42,0.00,0.00,0.00
163839,ambient,25.94,26.79,1002.27,22.50,0.00,0.00,0.00
166208,ambient,25.94,26.81,1002.27,22.59,0.00,0.00,0.00
168577,ambient,25.94,26.82,1002.27,22.78,0.00,0.00,0.00
170946,ambient,25.94,26.82,1002.27,22.88,0.00,0.00,0.00
173315,ambient,25.94,26.81,1002.28,22.95,0.00,0.00,0.00
175684,ambient,25.94,26.90,1002.28,22.88,0.00,0.00,0.00
178053,ambient,25.95,26.98,1002.29,22.91,0.00,0.00,0.00
180422,ambient,25.95,26.98,1002.28,23.00,0.00,0.00,0.00
182791,ambient,25.95,26.97,1002.30,23.03,0.00,0.00,0.00
185160,ambient,25.95,26.93,1002.30,23.45,0.00,0.00,0.00
187529,ambient,25.95,26.89,1002.31,23.49,0.00,0.00,0.00
189898,ambient,25.95,26.90,1002.31,23.08,0.00,0.00,0.00
192267,ambient,25.95,26.89,1002.33,23.53,0.00,0.00,0.00
194636,ambient,25.95,26.87,1002.35,23.49,0.00,0.00,0.00
197005,ambient,25.94,26.87,1002.35,23.46,0.00,0.00,0.00
199374,ambient,25.94,26.87,1002.34,23.48,0.00,0.00,0.00
201743,ambient,25.94,26.87,1002.34,23.59,0.00,0.00,0.00
204112,ambient,25.93,26.87,1002.33,23.62,0.00,0.00,0.00
206491,ambient,25.93,26.88,1002.33,23.81,0.00,0.00,0.00
208860,ambient,25.93,26.91,1002.34,23.84,0.00,0.00,0.00
211229,ambient,25.92,26.92,1002.34,23.87,0.00,0.00,0.00
213598,ambient,25.92,26.91,1002.34,23.86,0.00,0.00,0.00
215967,ambient,25.92,26.89,1002.34,24.06,0.00,0.00,0.00
218336,ambient,25.91,26.87,1002.34,24.13,0.00,0.00,0.00
220705,ambient,25.91,26.86,1002.34,24.24,0.00,0.00,0.00
223074,ambient,25.90,26.83,1002.34,24.38,0.00,0.00,0.00
225443,ambient,25.89,26.80,1002.33,24.45,0.00,0.00,0.00
227812,ambient,25.89,26.78,1002.33,24.54,0.00,0.00,0.00
230181,ambient,25.88,26.78,1002.33,24.53,0.00,0.00,0.00
232550,ambient,25.88,26.76,1002.33,24.63,0.00,0.00,0.00
234919,ambient,25.87,26.74,1002.33,24.63,0.00,0.00,0.00
237288,ambient,25.86,26.74,1002.33,24.84,0.00,0.00,0.00
239657,ambient,25.85,26.76,1002.33,24.89,0.00,0.00,0.00
242026,ambient,25.84,26.77,1002.35,24.82,0.00,0.00,0.00
244395,ambient,25.84,26.78,1002.34,24.77,0.00,0.00,0.00
246764,ambient,25.83,26.77,1002.34,24.77,0.00,0.00,0.00
249133,ambient,25.82,26.78,1002.33,24.90,0.00,0.00,0.00
251502,ambient,25.81,26.78,1002.33,24.92,0.00,0.00,0.00
253871,ambient,25.80,26.79,1002.34,25.02,0.00,0.00,0.00
256240,ambient,25.80,26.79,1002.34,25.00,0.00,0.00,0.00
258609,ambient,25.79,26.80,1002.36,25.03,0.00,0.00,0.00
260978,ambient,25.79,26.81,1002.37,25.03,0.00,0.00,0.00
263347,ambient,25.78,26.82,1002.37,25.08,0.00,0.00,0.00
265716,ambient,25.78,26.82,1002.37,25.12,0.00,0.00,0.00
268085,ambient,25.78,26.82,1002.38,25.09,0.00,0.00,0.00
270454,ambient,25.77,26.85,1002.38,25.24,0.00,0.00,0.00
272823,ambient,25.77,26.86,1002.37,25.30,0.00,0.00,0.00
275192,ambient,25.77,26.85,1002.37,25.38,0.00,0.00,0.00
